"Frequency Response"
"MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
128,605.000000,-29.705385,-245.631487,605.000000,-19.717630,-223.100792
129,610.000000,-29.992869,-247.316466,610.000000,-19.724108,-224.942357
130,615.000000,-30.043482,-248.650622,615.000000,-20.049175,-227.237332
131,620.000000,-30.639758,-248.540741,620.000000,-20.421044,-228.294441
132,625.000000,-30.750860,-250.577761,625.000000,-20.528322,-229.891696
133,630.000000,-30.841036,-249.162408,630.000000,-20.765509,-227.986359
134,635.000000,-31.397198,-249.024305,635.000000,-21.068337,-230.805379
135,640.000000,-31.521654,-251.300753,640.000000,-21.214326,-231.634773
136,645.000000,-31.702330,-251.618404,645.000000,-21.224438,-232.020153
137,650.000000,-31.515418,-251.974159,650.000000,-21.405597,-232.307488
138,655.000000,-31.688921,-252.478515,655.000000,-21.456350,-233.347850
139,660.000000,-32.026848,-252.563409,660.000000,-21.996944,-234.669389
140,665.000000,-32.273864,-254.257103,665.000000,-21.898976,-236.294695
141,670.000000,-32.946546,-254.609865,670.000000,-22.632412,-236.654089
142,675.000000,-33.182567,-256.321085,675.000000,-22.746708,-238.958249
143,680.000000,-33.697379,-255.494936,680.000000,-23.207376,-238.031057
144,685.000000,-33.994350,-257.018653,685.000000,-23.518153,-240.035605
145,690.000000,-34.626976,-257.098439,690.000000,-24.298470,-240.398721
146,695.000000,-35.310855,-256.018854,695.000000,-24.752417,-239.732979
147,700.000000,-35.656738,-253.221188,700.000000,-25.367494,-237.703902
148,705.000000,-36.337265,-252.316802,705.000000,-25.921775,-236.038056
149,710.000000,-37.131034,-246.001094,710.000000,-26.506318,-231.296799
150,715.000000,-37.719370,-239.421923,715.000000,-27.037783,-224.150723
151,720.000000,-37.748542,-231.398010,720.000000,-27.151250,-217.480079
152,725.000000,-37.242317,-220.422345,725.000000,-26.663256,-206.567502
153,730.000000,-35.592682,-211.740377,730.000000,-25.217241,-198.341283
154,735.000000,-33.497701,-210.776880,735.000000,-23.317085,-197.187274
155,740.000000,-31.655493,-214.637757,740.000000,-21.310900,-200.339707
156,745.000000,-30.217586,-225.425101,745.000000,-19.845218,-210.666005
157,750.000000,-29.569934,-237.002753,750.000000,-19.081885,-221.589377
158,755.000000,-29.706106,-248.907864,755.000000,-19.105169,-233.588270
159,760.000000,-30.846983,-254.217791,760.000000,-20.092878,-241.068546
160,765.000000,-31.216950,-256.296549,765.000000,-20.802283,-242.997240
161,770.000000,-31.476924,-259.863578,770.000000,-20.876371,-245.803610
162,775.000000,-32.329687,-263.403811,775.000000,-21.706097,-249.909326
163,780.000000,-33.275465,-263.155734,780.000000,-22.714988,-250.396878
164,785.000000,-33.664065,-255.840611,785.000000,-23.041662,-243.115301
165,790.000000,-32.781031,-254.627797,790.000000,-22.239170,-241.539854
166,795.000000,-32.513826,-260.330584,795.000000,-21.825640,-247.206884
