TCMD,FRTCM,FREQ
-3.007415545,-5.479263938,1
-3.021148036,-5.479263938,1
-2.952485581,-5.561658885,1
-3.007415545,-5.561658885,1
-3.076078001,-5.561658885,1
-3.076078001,-5.561658885,1
-3.034880527,-5.63032134,1
-3.048613018,-5.63032134,1
-3.172205438,-5.63032134,1
-3.117275474,-5.63032134,1
-3.117275474,-5.712716287,1
-3.117275474,-5.712716287,1
-3.213402911,-5.712716287,1
-3.282065367,-5.712716287,1
-3.19967042,-5.781378742,1
-3.158472947,-5.781378742,1
-3.227135402,-5.781378742,1
-3.282065367,-5.781378742,1
-3.185937929,-5.863773689,1
-3.185937929,-5.863773689,1
-3.32326284,-5.863773689,1
-3.295797858,-5.863773689,1
-3.336995331,-5.946168635,1
-3.309530349,-5.946168635,1
-3.350727822,-5.946168635,1
-3.433122768,-5.946168635,1
-3.419390277,-6.01483109,1
-3.419390277,-6.01483109,1
-3.501785224,-6.01483109,1
-3.44685526,-6.01483109,1
-3.44685526,-6.097226037,1
-3.419390277,-6.097226037,1
-3.515517715,-6.097226037,1
-3.501785224,-6.097226037,1
-3.488052733,-6.165888492,1
-3.556715188,-6.165888492,1
-3.611645152,-6.165888492,1
-3.58418017,-6.165888492,1
-3.556715188,-6.248283439,1
-3.556715188,-6.248283439,1
-3.625377644,-6.248283439,1
-3.597912661,-6.316945894,1
-3.625377644,-6.316945894,1
-3.652842626,-6.316945894,1
-3.639110135,-6.316945894,1
-3.694040099,-6.385608349,1
-3.652842626,-6.385608349,1
-3.666575117,-6.385608349,1
-3.776435045,-6.385608349,1
-3.748970063,-6.468003296,1
-3.735237572,-6.468003296,1
-3.748970063,-6.468003296,1
-3.790167536,-6.468003296,1
-3.803900027,-6.536665751,1
-3.790167536,-6.536665751,1
-3.803900027,-6.536665751,1
-3.886294974,-6.536665751,1
-3.872562483,-6.619060698,1
-3.900027465,-6.619060698,1
-3.858829992,-6.619060698,1
-3.900027465,-6.619060698,1
-3.954957429,-6.687723153,1
-3.927492447,-6.687723153,1
-3.927492447,-6.687723153,1
-3.96868992,-6.687723153,1
-4.009887394,-6.756385608,1
-4.009887394,-6.756385608,1
-3.96868992,-6.756385608,1
-4.064817358,-6.756385608,1
-4.09228234,-6.838780555,1
-4.009887394,-6.838780555,1
-4.078549849,-6.838780555,1
-4.160944795,-6.838780555,1
-4.078549849,-6.90744301,1
-4.119747322,-6.90744301,1
-4.119747322,-6.90744301,1
-4.202142269,-6.90744301,1
-4.160944795,-6.976105466,1
-4.174677286,-6.976105466,1
-4.21587476,-6.976105466,1
-4.229607251,-6.976105466,1
-4.270804724,-7.058500412,1
-4.312002197,-7.058500412,1
-4.312002197,-7.058500412,1
-4.366932161,-7.127162867,1
-4.366932161,-7.127162867,1
-4.394397144,-7.127162867,1
-4.35319967,-7.127162867,1
-4.421862126,-7.195825323,1
-4.586652019,-7.195825323,1
-4.435594617,-7.195825323,1
-4.408129635,-7.195825323,1
-4.490524581,-7.264487778,1
-4.517989563,-7.264487778,1
-4.490524581,-7.264487778,1
-4.490524581,-7.264487778,1
-4.531722054,-7.333150233,1
-4.531722054,-7.333150233,1
-4.531722054,-7.333150233,1
-4.504257072,-7.333150233,1
-4.614117001,-7.41554518,1
-4.60038451,-7.41554518,1
-4.559187037,-7.41554518,1
-4.559187037,-7.41554518,1
-4.627849492,-7.484207635,1
